,game_pk,at_bat_number,runner_id,pitcher_id,catcher_id,successful_sb,runner_sprint_speed,pitch_tempo,sb_att_rate,lead_dist_gained_opp,lead_dist_gained_att,pop_time,exchange_time,arm_strength,cs_aa_per_throw
1237,717768,18,686668,676477,657136,0,29.9,13.498,0.04035874439461883,4.619451613,11.169111111,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1238,716739,48,677951,661440,657136,1,30.5,15.287,0.016,4.9040416669999995,10.273,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1239,718625,19,660644,676477,657136,0,26.8,13.498,0.04035874439461883,4.619451613,11.169111111,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1240,716716,44,660644,682175,657136,1,26.8,16.579,0.03333333333333333,1.6288426969999998,10.312666667,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1241,717904,39,666139,656557,657136,1,28.8,13.769,0.011976047904191616,4.725269697,10.87525,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1242,717077,49,672580,659275,657136,1,28.2,14.023,0.04580152671755725,5.066098361,11.300833333,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1243,718211,69,657557,445276,657136,1,26.9,18.936,0.1111111111111111,7.027785714,13.59375,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1244,717419,75,666624,605463,657136,1,28.6,13.828,0.015625,3.9377796610000004,12.718,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1245,717530,50,665489,601713,657136,1,26.4,16.825,0.029411764705882356,4.575955432,11.539000000000001,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1246,717841,14,643396,676477,657136,0,27.7,13.498,0.04035874439461883,4.619451613,11.169111111,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1247,717569,63,621563,445276,657136,1,27.8,18.936,0.1111111111111111,7.027785714,13.59375,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1248,718385,26,608070,678394,657136,0,27.8,13.777999999999999,0.008992805755395683,4.1589943819999995,9.9396,1.918333333,0.6735555559999999,82.169599259,0.08230402985606029
1249,718627,36,668930,668678,672515,0,29.5,15.622,0.010115606936416185,4.02425,9.183428571,1.896612903,0.607709677,79.457731935,0.2787784742048348
1250,716702,23,666134,694297,672515,1,28.4,16.173,0.02906976744186046,4.640772727,11.7697,1.896612903,0.607709677,79.457731935,0.2787784742048348
1251,717452,42,672779,668678,672515,1,27.6,15.622,0.010115606936416185,4.02425,9.183428571,1.896612903,0.607709677,79.457731935,0.2787784742048348
1252,716370,27,663656,518876,672515,1,26.6,15.117,0.020512820512820516,4.733644401,12.71875,1.896612903,0.607709677,79.457731935,0.2787784742048348
